ოლქი - სუბიექტი,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,22,23,25,26,27,28,30,41
#36 მაჟ. ოლქი,"872
(4.37%)","13
(0.06%)","338
(1.69%)","16
(0.08%)","9446
(47.41%)","54
(0.27%)","24
(0.12%)","173
(0.86%)","130
(0.65%)","16
(0.08%)","3
(0.01%)","21
(0.1%)","9
(0.04%)","11
(0.05%)","27
(0.13%)","9
(0.04%)","308
(1.54%)","10
(0.05%)","13
(0.06%)","2
(0.01%)","5
(0.02%)","188
(0.94%)","2
(0.01%)","11
(0.05%)","8221
(41.26%)"
#37 მაჟ. ოლქი,"493
(1.94%)","18
(0.07%)","610
(2.4%)","36
(0.14%)","5232
(20.6%)","348
(1.37%)","16
(0.06%)","2855
(11.24%)","1742
(6.86%)","19
(0.07%)","40
(0.15%)","241
(0.94%)","18
(0.07%)","18
(0.07%)","57
(0.22%)","33
(0.12%)","80
(0.31%)","22
(0.08%)","17
(0.06%)","8
(0.03%)","53
(0.2%)","985
(3.87%)","27
(0.1%)","28
(0.11%)","12391
(48.8%)"
#38 მაჟ. ოლქი,"1539
(7.22%)","10
(0.04%)","705
(3.31%)","14
(0.06%)","1983
(9.31%)","191
(0.89%)","160
(0.75%)","1744
(8.18%)","1788
(8.39%)","5
(0.02%)","13
(0.06%)","27
(0.12%)","4
(0.01%)","27
(0.12%)","12
(0.05%)","25
(0.11%)","240
(1.12%)","8
(0.03%)","7
(0.03%)","23
(0.1%)","23
(0.1%)","508
(2.38%)","11
(0.05%)","7
(0.03%)","12225
(57.39%)"
#39 მაჟ. ოლქი,"413
(1.92%)","9
(0.04%)","724
(3.37%)","22
(0.1%)","4969
(23.17%)","207
(0.96%)","10
(0.04%)","1917
(8.93%)","972
(4.53%)","17
(0.07%)","22
(0.1%)","41
(0.19%)","9
(0.04%)","11
(0.05%)","14
(0.06%)","25
(0.11%)","120
(0.55%)","9
(0.04%)","4
(0.01%)","2
(0%)","33
(0.15%)","1157
(5.39%)","6
(0.02%)","17
(0.07%)","10714
(49.96%)"
#40 მაჟ. ოლქი,"516
(2.16%)","11
(0.04%)","907
(3.8%)","22
(0.09%)","5905
(24.76%)","136
(0.57%)","21
(0.08%)","832
(3.48%)","975
(4.08%)","18
(0.07%)","17
(0.07%)","39
(0.16%)","13
(0.05%)","21
(0.08%)","46
(0.19%)","34
(0.14%)","208
(0.87%)","14
(0.05%)","12
(0.05%)","6
(0.02%)","89
(0.37%)","1753
(7.35%)","20
(0.08%)","8
(0.03%)","12222
(51.25%)"
#41 მაჟ. ოლქი,"867
(3.54%)","16
(0.06%)","1052
(4.3%)","24
(0.09%)","5831
(23.84%)","170
(0.69%)","20
(0.08%)","1108
(4.53%)","906
(3.7%)","16
(0.06%)","95
(0.38%)","77
(0.31%)","7
(0.02%)","80
(0.32%)","35
(0.14%)","53
(0.21%)","242
(0.98%)","11
(0.04%)","17
(0.06%)","5
(0.02%)","319
(1.3%)","3439
(14.06%)","19
(0.07%)","24
(0.09%)","10025
(40.98%)"
#42 მაჟ. ოლქი,"897
(3.5%)","10
(0.03%)","1070
(4.17%)","27
(0.1%)","6932
(27.05%)","81
(0.31%)","26
(0.1%)","943
(3.67%)","752
(2.93%)","12
(0.04%)","42
(0.16%)","56
(0.21%)","6
(0.02%)","83
(0.32%)","17
(0.06%)","120
(0.46%)","351
(1.36%)","12
(0.04%)","11
(0.04%)","7
(0.02%)","712
(2.77%)","1474
(5.75%)","11
(0.04%)","26
(0.1%)","11948
(46.62%)"
#43 მაჟ. ოლქი,"1265
(5.49%)","6
(0.02%)","959
(4.16%)","15
(0.06%)","5929
(25.74%)","353
(1.53%)","16
(0.06%)","1502
(6.52%)","1471
(6.38%)","16
(0.06%)","42
(0.18%)","68
(0.29%)","14
(0.06%)","15
(0.06%)","51
(0.22%)","43
(0.18%)","1051
(4.56%)","12
(0.05%)","8
(0.03%)","2
(0%)","102
(0.44%)","1278
(5.55%)","18
(0.07%)","12
(0.05%)","8779
(38.12%)"
#44 მაჟ. ოლქი,"654
(2.24%)","10
(0.03%)","515
(1.76%)","26
(0.08%)","12448
(42.74%)","154
(0.52%)","17
(0.05%)","493
(1.69%)","679
(2.33%)","9
(0.03%)","14
(0.04%)","27
(0.09%)","9
(0.03%)","11
(0.03%)","26
(0.08%)","12
(0.04%)","292
(1%)","16
(0.05%)","37
(0.12%)","5
(0.01%)","67
(0.23%)","846
(2.9%)","16
(0.05%)","18
(0.06%)","12721
(43.68%)"
#45 მაჟ. ოლქი,"762
(3.32%)","4
(0.01%)","1106
(4.82%)","17
(0.07%)","4830
(21.07%)","163
(0.71%)","140
(0.61%)","1954
(8.52%)","800
(3.49%)","11
(0.04%)","11
(0.04%)","45
(0.19%)","10
(0.04%)","13
(0.05%)","17
(0.07%)","19
(0.08%)","286
(1.24%)","7
(0.03%)","28
(0.12%)","48
(0.2%)","41
(0.17%)","519
(2.26%)","11
(0.04%)","11
(0.04%)","12068
(52.65%)"
#46 მაჟ. ოლქი,"1260
(5.12%)","39
(0.15%)","831
(3.38%)","21
(0.08%)","4994
(20.32%)","879
(3.57%)","23
(0.09%)","334
(1.35%)","64
(0.26%)","60
(0.24%)","21
(0.08%)","53
(0.21%)","30
(0.12%)","44
(0.17%)","55
(0.22%)","20
(0.08%)","275
(1.11%)","23
(0.09%)","31
(0.12%)","11
(0.04%)","74
(0.3%)","48
(0.19%)","11
(0.04%)","17
(0.06%)","15348
(62.47%)"
#47 მაჟ. ოლქი,"1061
(4.6%)","13
(0.05%)","780
(3.38%)","18
(0.07%)","7241
(31.4%)","255
(1.1%)","26
(0.11%)","1131
(4.9%)","930
(4.03%)","6
(0.02%)","28
(0.12%)","30
(0.13%)","4
(0.01%)","44
(0.19%)","17
(0.07%)","33
(0.14%)","145
(0.62%)","18
(0.07%)","3
(0.01%)","2
(0%)","171
(0.74%)","1038
(4.5%)","16
(0.06%)","9
(0.03%)","10036
(43.53%)"
#48 მაჟ. ოლქი,"783
(3.46%)","9
(0.03%)","986
(4.36%)","22
(0.09%)","6501
(28.75%)","328
(1.45%)","78
(0.34%)","1096
(4.84%)","874
(3.86%)","8
(0.03%)","9
(0.03%)","20
(0.08%)","7
(0.03%)","27
(0.11%)","21
(0.09%)","24
(0.1%)","134
(0.59%)","25
(0.11%)","6
(0.02%)","1
(0%)","183
(0.8%)","1158
(5.12%)","30
(0.13%)","5
(0.02%)","10277
(45.44%)"
#49 მაჟ. ოლქი,"724
(3.42%)","8
(0.03%)","598
(2.82%)","26
(0.12%)","8185
(38.71%)","226
(1.06%)","15
(0.07%)","769
(3.63%)","967
(4.57%)","9
(0.04%)","13
(0.06%)","25
(0.11%)","9
(0.04%)","19
(0.08%)","22
(0.1%)","26
(0.12%)","114
(0.53%)","20
(0.09%)","5
(0.02%)","5
(0.02%)","105
(0.49%)","927
(4.38%)","17
(0.08%)","7
(0.03%)","8300
(39.26%)"
#50 მაჟ. ოლქი,"962
(3.17%)","25
(0.08%)","1504
(4.96%)","39
(0.12%)","9293
(30.65%)","784
(2.58%)","19
(0.06%)","1310
(4.32%)","789
(2.6%)","13
(0.04%)","26
(0.08%)","17
(0.05%)","11
(0.03%)","32
(0.1%)","27
(0.08%)","31
(0.1%)","242
(0.79%)","15
(0.04%)","8
(0.02%)","12
(0.03%)","302
(0.99%)","503
(1.65%)","25
(0.08%)","20
(0.06%)","14309
(47.19%)"
#51 მაჟ. ოლქი,"1455
(5.12%)","15
(0.05%)","751
(2.64%)","22
(0.07%)","7645
(26.92%)","1169
(4.11%)","17
(0.05%)","807
(2.84%)","779
(2.74%)","7
(0.02%)","15
(0.05%)","22
(0.07%)","10
(0.03%)","14
(0.04%)","37
(0.13%)","21
(0.07%)","444
(1.56%)","11
(0.03%)","4
(0.01%)","8
(0.02%)","216
(0.76%)","1315
(4.63%)","8
(0.02%)","5
(0.01%)","13601
(47.89%)"
#52 მაჟ. ოლქი,"625
(2.31%)","14
(0.05%)","481
(1.78%)","22
(0.08%)","7802
(28.9%)","446
(1.65%)","15
(0.05%)","1105
(4.09%)","1007
(3.73%)","11
(0.04%)","27
(0.1%)","30
(0.11%)","10
(0.03%)","26
(0.09%)","28
(0.1%)","29
(0.1%)","111
(0.41%)","7
(0.02%)","27
(0.1%)","25
(0.09%)","128
(0.47%)","842
(3.11%)","22
(0.08%)","12
(0.04%)","14139
(52.38%)"
#53 მაჟ. ოლქი,"327
(1.3%)","4
(0.01%)","305
(1.21%)","34
(0.13%)","1245
(4.95%)","203
(0.8%)","6
(0.02%)","557
(2.21%)","281
(1.11%)","6
(0.02%)","12
(0.04%)","24
(0.09%)","0
(0%)","21
(0.08%)","6
(0.02%)","42
(0.16%)","290
(1.15%)","3
(0.01%)","1
(0%)","7
(0.02%)","41
(0.16%)","326
(1.29%)","7
(0.02%)","10
(0.03%)","21378
(85.04%)"
#54 მაჟ. ოლქი,"3079
(9.88%)","11
(0.03%)","572
(1.83%)","26
(0.08%)","7584
(24.33%)","391
(1.25%)","18
(0.05%)","518
(1.66%)","489
(1.56%)","10
(0.03%)","14
(0.04%)","30
(0.09%)","8
(0.02%)","16
(0.05%)","11
(0.03%)","30
(0.09%)","232
(0.74%)","5
(0.01%)","6
(0.01%)","4
(0.01%)","70
(0.22%)","816
(2.61%)","9
(0.02%)","13
(0.04%)","17198
(55.19%)"
#55 მაჟ. ოლქი,"989
(3.83%)","10
(0.03%)","493
(1.91%)","15
(0.05%)","7438
(28.85%)","432
(1.67%)","14
(0.05%)","639
(2.47%)","630
(2.44%)","9
(0.03%)","10
(0.03%)","84
(0.32%)","5
(0.01%)","8
(0.03%)","18
(0.06%)","25
(0.09%)","194
(0.75%)","7
(0.02%)","8
(0.03%)","2
(0%)","104
(0.4%)","729
(2.82%)","22
(0.08%)","10
(0.03%)","13879
(53.84%)"
#56 მაჟ. ოლქი,"889
(4.13%)","17
(0.07%)","838
(3.9%)","15
(0.06%)","3552
(16.53%)","326
(1.51%)","15
(0.06%)","1239
(5.76%)","549
(2.55%)","7
(0.03%)","23
(0.1%)","24
(0.11%)","7
(0.03%)","80
(0.37%)","25
(0.11%)","209
(0.97%)","211
(0.98%)","3
(0.01%)","12
(0.05%)","4
(0.01%)","1176
(5.47%)","2291
(10.66%)","14
(0.06%)","9
(0.04%)","9943
(46.29%)"
#57 მაჟ. ოლქი,"652
(2.41%)","8
(0.02%)","828
(3.06%)","27
(0.09%)","9175
(33.97%)","197
(0.72%)","20
(0.07%)","632
(2.34%)","805
(2.98%)","11
(0.04%)","14
(0.05%)","17
(0.06%)","12
(0.04%)","22
(0.08%)","27
(0.09%)","26
(0.09%)","247
(0.91%)","12
(0.04%)","6
(0.02%)","2
(0%)","183
(0.67%)","1218
(4.51%)","16
(0.05%)","11
(0.04%)","12834
(47.52%)"
#58 მაჟ. ოლქი,"1055
(4.03%)","25
(0.09%)","1169
(4.47%)","28
(0.1%)","4534
(17.34%)","469
(1.79%)","23
(0.08%)","1669
(6.38%)","703
(2.68%)","16
(0.06%)","11
(0.04%)","56
(0.21%)","6
(0.02%)","9
(0.03%)","26
(0.09%)","31
(0.11%)","421
(1.61%)","10
(0.03%)","9
(0.03%)","9
(0.03%)","229
(0.87%)","749
(2.86%)","12
(0.04%)","7
(0.02%)","14859
(56.85%)"
#59 მაჟ. ოლქი,"1278
(4.53%)","12
(0.04%)","1340
(4.75%)","23
(0.08%)","5317
(18.85%)","270
(0.95%)","14
(0.04%)","1711
(6.06%)","739
(2.62%)","32
(0.11%)","13
(0.04%)","49
(0.17%)","5
(0.01%)","13
(0.04%)","16
(0.05%)","31
(0.1%)","98
(0.34%)","16
(0.05%)","3
(0.01%)","4
(0.01%)","46
(0.16%)","1889
(6.69%)","13
(0.04%)","11
(0.03%)","15253
(54.09%)"
#60 მაჟ. ოლქი,"2429
(7.62%)","23
(0.07%)","948
(2.97%)","29
(0.09%)","5847
(18.36%)","437
(1.37%)","13
(0.04%)","1529
(4.8%)","774
(2.43%)","35
(0.1%)","18
(0.05%)","56
(0.17%)","14
(0.04%)","28
(0.08%)","32
(0.1%)","38
(0.11%)","83
(0.26%)","22
(0.06%)","67
(0.21%)","11
(0.03%)","62
(0.19%)","823
(2.58%)","29
(0.09%)","24
(0.07%)","18469
(58%)"
#61 მაჟ. ოლქი,"1009
(3.77%)","26
(0.09%)","856
(3.19%)","30
(0.11%)","6922
(25.87%)","229
(0.85%)","9
(0.03%)","944
(3.52%)","733
(2.73%)","10
(0.03%)","12
(0.04%)","29
(0.1%)","4
(0.01%)","17
(0.06%)","21
(0.07%)","44
(0.16%)","89
(0.33%)","16
(0.05%)","5
(0.01%)","35
(0.13%)","1194
(4.46%)","1144
(4.27%)","39
(0.14%)","7
(0.02%)","13328
(49.82%)"
#62 მაჟ. ოლქი,"1423
(4.75%)","13
(0.04%)","891
(2.97%)","35
(0.11%)","9748
(32.59%)","141
(0.47%)","28
(0.09%)","1449
(4.84%)","415
(1.38%)","5
(0.01%)","10
(0.03%)","28
(0.09%)","24
(0.08%)","12
(0.04%)","20
(0.06%)","12
(0.04%)","131
(0.43%)","10
(0.03%)","6
(0.02%)","13
(0.04%)","21
(0.07%)","1111
(3.71%)","32
(0.1%)","3
(0.01%)","14322
(47.89%)"
#63 მაჟ. ოლქი,"1537
(6.76%)","9
(0.03%)","626
(2.75%)","24
(0.1%)","7832
(34.47%)","236
(1.03%)","12
(0.05%)","360
(1.58%)","655
(2.88%)","13
(0.05%)","3
(0.01%)","28
(0.12%)","4
(0.01%)","9
(0.03%)","12
(0.05%)","61
(0.26%)","72
(0.31%)","14
(0.06%)","6
(0.02%)","2
(0%)","198
(0.87%)","1178
(5.18%)","22
(0.09%)","5
(0.02%)","9803
(43.14%)"
#64 მაჟ. ოლქი,"1188
(4.7%)","10
(0.03%)","499
(1.97%)","27
(0.1%)","9338
(36.98%)","170
(0.67%)","22
(0.08%)","1347
(5.33%)","481
(1.9%)","12
(0.04%)","7
(0.02%)","33
(0.13%)","2
(0%)","20
(0.07%)","11
(0.04%)","18
(0.07%)","55
(0.21%)","12
(0.04%)","1
(0%)","6
(0.02%)","17
(0.06%)","940
(3.72%)","23
(0.09%)","11
(0.04%)","10998
(43.55%)"
#65 მაჟ. ოლქი,"980
(4.76%)","11
(0.05%)","301
(1.46%)","11
(0.05%)","7342
(35.68%)","421
(2.04%)","4
(0.01%)","448
(2.17%)","305
(1.48%)","1
(0%)","7
(0.03%)","8
(0.03%)","6
(0.02%)","4
(0.01%)","11
(0.05%)","10
(0.04%)","12
(0.05%)","11
(0.05%)","6
(0.02%)","2
(0%)","19
(0.09%)","1989
(9.66%)","50
(0.24%)","4
(0.01%)","8613
(41.85%)"
#66 მაჟ. ოლქი,"550
(2.4%)","6
(0.02%)","231
(1%)","23
(0.1%)","10259
(44.83%)","140
(0.61%)","21
(0.09%)","518
(2.26%)","311
(1.35%)","8
(0.03%)","4
(0.01%)","15
(0.06%)","4
(0.01%)","6
(0.02%)","6
(0.02%)","14
(0.06%)","15
(0.06%)","8
(0.03%)","2
(0%)","2
(0%)","17
(0.07%)","505
(2.2%)","21
(0.09%)","4
(0.01%)","10191
(44.53%)"
#67 მაჟ. ოლქი,"1137
(4.08%)","38
(0.13%)","327
(1.17%)","33
(0.11%)","9982
(35.83%)","366
(1.31%)","56
(0.2%)","867
(3.11%)","586
(2.1%)","15
(0.05%)","64
(0.22%)","37
(0.13%)","4
(0.01%)","23
(0.08%)","20
(0.07%)","24
(0.08%)","16
(0.05%)","12
(0.04%)","18
(0.06%)","10
(0.03%)","96
(0.34%)","919
(3.29%)","15
(0.05%)","5
(0.01%)","13188
(47.34%)"
#68 მაჟ. ოლქი,"781
(3.06%)","7
(0.02%)","1524
(5.98%)","19
(0.07%)","8442
(33.14%)","308
(1.2%)","10
(0.03%)","1584
(6.21%)","657
(2.57%)","3
(0.01%)","8
(0.03%)","23
(0.09%)","1
(0%)","60
(0.23%)","12
(0.04%)","70
(0.27%)","175
(0.68%)","10
(0.03%)","45
(0.17%)","1
(0%)","190
(0.74%)","773
(3.03%)","1
(0%)","8
(0.03%)","10761
(42.24%)"
#69 მაჟ. ოლქი,"655
(2.64%)","17
(0.06%)","1485
(6%)","40
(0.16%)","6883
(27.83%)","504
(2.03%)","31
(0.12%)","1606
(6.49%)","621
(2.51%)","5
(0.02%)","11
(0.04%)","63
(0.25%)","5
(0.02%)","41
(0.16%)","12
(0.04%)","84
(0.33%)","157
(0.63%)","6
(0.02%)","43
(0.17%)","4
(0.01%)","288
(1.16%)","1125
(4.54%)","51
(0.2%)","13
(0.05%)","10979
(44.39%)"
#70 მაჟ. ოლქი,"550
(2.12%)","13
(0.05%)","1540
(5.93%)","33
(0.12%)","7767
(29.94%)","269
(1.03%)","28
(0.1%)","1692
(6.52%)","790
(3.04%)","3
(0.01%)","8
(0.03%)","52
(0.2%)","5
(0.01%)","35
(0.13%)","13
(0.05%)","56
(0.21%)","186
(0.71%)","14
(0.05%)","94
(0.36%)","1
(0%)","246
(0.94%)","825
(3.18%)","9
(0.03%)","16
(0.06%)","11691
(45.07%)"
#71 მაჟ. ოლქი,"555
(2.06%)","11
(0.04%)","1416
(5.25%)","33
(0.12%)","7608
(28.25%)","453
(1.68%)","54
(0.2%)","1590
(5.9%)","483
(1.79%)","7
(0.02%)","13
(0.04%)","23
(0.08%)","6
(0.02%)","11
(0.04%)","27
(0.1%)","31
(0.11%)","233
(0.86%)","3
(0.01%)","19
(0.07%)","3
(0.01%)","117
(0.43%)","630
(2.33%)","3
(0.01%)","23
(0.08%)","13575
(50.41%)"
#72 მაჟ. ოლქი,"751
(3.12%)","10
(0.04%)","2024
(8.42%)","23
(0.09%)","6972
(29%)","196
(0.81%)","28
(0.11%)","1389
(5.77%)","784
(3.26%)","8
(0.03%)","13
(0.05%)","24
(0.09%)","5
(0.02%)","58
(0.24%)","26
(0.1%)","13
(0.05%)","285
(1.18%)","7
(0.02%)","41
(0.17%)","0
(0%)","464
(1.93%)","626
(2.6%)","4
(0.01%)","10
(0.04%)","10273
(42.74%)"
#73 მაჟ. ოლქი,"1237
(3.94%)","13
(0.04%)","1622
(5.17%)","29
(0.09%)","9336
(29.8%)","552
(1.76%)","15
(0.04%)","751
(2.39%)","532
(1.69%)","13
(0.04%)","8
(0.02%)","23
(0.07%)","5
(0.01%)","15
(0.04%)","17
(0.05%)","24
(0.07%)","708
(2.26%)","30
(0.09%)","42
(0.13%)","4
(0.01%)","203
(0.64%)","907
(2.89%)","25
(0.07%)","6
(0.01%)","15207
(48.54%)"
